Order Item ID,Order ID,date,Order Time,qty,prod_code,Customer ID,RegCode,Gross Sales,Discount %,Gross Profit,Purchase Price,Net Tot Sales,Discount,Net Tot Profit
1502,615,2017-03-09,01:41:00,5,Go-Wo-NMDVGP,2827,LA-SA-BRAZIL,250,0.15,125,125, 1.063, 187.50, 437.50
2124,855,2015-01-13,11:11:00,5,Go-Wo-NMDVGP,4535,LA-CA-MEXICO,250,0.16,125,125, 1.050, 200, 425
2793,1123,2015-01-28,01:32:00,5,Go-Wo-NMDVGP,2311,LA-SA-ARGENTI,250,0.15,125,125, 1.063, 187.50, 437.50
3429,1388,2015-01-21,05:55:00,5,Go-Wo-NMDVGP,12046,LA-SA-BOLIVIA,250,0,125,125, 1.250, 0, 625
3987,1598,2015-01-24,07:30:00,5,Go-Wo-NMDVGP,10784,LA-CA-HONDURA,250,0.03,125,125, 1.213, 37.50, 587.50
4747,1901,2015-01-28,17:39:00,5,Go-Wo-NMDVGP,4354,LA-CA-NICARAG,250,0.09,125,125, 1.138, 112.50, 512.50
4888,1951,2015-01-29,11:10:00,5,Go-Wo-NMDVGP,8229,LA-CA-MEXICO,250,0.04,125,125, 1.200, 50, 575
4990,1996,2015-01-30,02:56:00,5,Go-Wo-NMDVGP,7491,LA-CA-MEXICO,250,0.02,125,125, 1.225, 25, 600
5358,2138,2015-02-15,07:28:00,5,Go-Wo-NMDVGP,8510,LA-CA-HONDURA,250,0.13,125,125, 1.088, 162.50, 462.50
5457,2181,2015-02-17,07:28:00,5,Go-Wo-NMDVGP,6677,LA-CA-PANAMA,250,0.09,125,125, 1.138, 112.50, 512.50
5485,2188,2015-06-21,13:14:00,5,Go-Wo-NMDVGP,12236,LA-CA-GUATEMA,250,0.07,125,125, 1.163, 87.50, 537.50
5813,2323,2015-02-03,21:30:00,5,Go-Wo-NMDVGP,5746,LA-CA-EL SALV,250,0,125,125, 1.250, 0, 625
5980,2393,2015-02-04,22:01:00,5,Go-Wo-NMDVGP,8666,LA-CA-MEXICO,250,0.2,125,125, 1.000, 250, 375
6419,2566,2015-02-07,10:38:00,5,Go-Wo-NMDVGP,10398,LA-SA-VENEZUE,250,0.12,125,125, 1.100, 150, 475
6774,2708,2016-04-23,16:50:00,5,Go-Wo-NMDVGP,2580,LA-CA-MEXICO,250,0.03,125,125, 1.213, 37.50, 587.50
6775,2708,2016-05-02,18:24:00,5,Go-Wo-NMDVGP,2580,LA-CA-MEXICO,250,0.02,125,125, 1.225, 25, 600
6831,2728,2016-08-18,10:54:00,5,Go-Wo-NMDVGP,2080,LA-SA-BRAZIL,250,0.01,125,125, 1.238, 12.50, 612.50
6932,2763,2015-02-10,07:39:00,5,Go-Wo-NMDVGP,2903,LA-SA-BRAZIL,250,0.16,125,125, 1.050, 200, 425
7433,2983,2015-02-13,12:43:00,5,Go-Wo-NMDVGP,3031,LA-SA-BOLIVIA,250,0.01,125,125, 1.238, 12.50, 612.50
7731,3105,2015-02-20,12:32:00,5,Go-Wo-NMDVGP,10545,LA-CA-NICARAG,250,0.18,125,125, 1.025, 225, 400
8204,3303,2015-02-18,04:50:00,5,Go-Wo-NMDVGP,7186,LA-CA-MEXICO,250,0.03,125,125, 1.213, 37.50, 587.50
8213,3305,2015-02-18,05:32:00,5,Go-Wo-NMDVGP,5588,LA-CA-MEXICO,250,0.02,125,125, 1.225, 25, 600
8223,3308,2015-03-29,13:22:00,5,Go-Wo-NMDVGP,4267,LA-C-CUBA,250,0.01,125,125, 1.238, 12.50, 612.50
8268,3328,2015-02-18,13:35:00,5,Go-Wo-NMDVGP,1373,LA-SA-BRAZIL,250,0.25,125,125, 938, 312.50, 312.50
8709,3505,2015-02-21,03:36:00,5,Go-Wo-NMDVGP,9819,LA-CA-HONDURA,250,0.03,125,125, 1.213, 37.50, 587.50
8842,3553,2015-02-21,20:25:00,5,Go-Wo-NMDVGP,11214,LA-SA-BRAZIL,250,0.02,125,125, 1.225, 25, 600
8867,3563,2017-02-24,00:49:00,5,Go-Wo-NMDVGP,2095,LA-CA-EL SALV,250,0.01,125,125, 1.238, 12.50, 612.50
8871,3565,2015-03-25,01:06:00,5,Go-Wo-NMDVGP,3029,LA-CA-EL SALV,250,0,125,125, 1.250, 0, 625
8878,3568,2015-02-22,01:40:00,5,Go-Wo-NMDVGP,9898,LA-CA-HONDURA,250,0.25,125,125, 938, 312.50, 312.50
8913,3583,2015-03-29,11:57:00,5,Go-Wo-NMDVGP,6565,LA-CA-NICARAG,250,0.2,125,125, 1.000, 250, 375
9281,3733,2017-03-16,09:33:00,5,Go-Wo-NMDVGP,6535,LA-SA-ARGENTI,250,0.04,125,125, 1.200, 50, 575
9299,3738,2015-02-24,13:14:00,5,Go-Wo-NMDVGP,8223,LA-CA-MEXICO,250,0.03,125,125, 1.213, 37.50, 587.50
9345,3761,2015-02-24,21:17:00,5,Go-Wo-NMDVGP,3468,LA-CA-EL SALV,250,0.02,125,125, 1.225, 25, 600
9357,3763,2015-02-19,12:43:00,5,Go-Wo-NMDVGP,4488,LA-C-CUBA,250,0.25,125,125, 938, 312.50, 312.50
9368,3768,2015-02-24,23:44:00,5,Go-Wo-NMDVGP,7685,LA-CA-MEXICO,250,0.2,125,125, 1.000, 250, 375
9884,3981,2016-06-20,06:57:00,5,Go-Wo-NMDVGP,1062,LA-C-CUBA,250,0.03,125,125, 1.213, 37.50, 587.50
9924,3995,2015-02-28,07:16:00,5,Go-Wo-NMDVGP,7332,LA-C-CUBA,250,0.01,125,125, 1.238, 12.50, 612.50
9928,3996,2015-02-28,07:37:00,5,Go-Wo-NMDVGP,1761,LA-C-CUBA,250,0,125,125, 1.250, 0, 625
10294,4126,2015-03-02,05:10:00,5,Go-Wo-NMDVGP,12342,LA-SA-VENEZUE,250,0.13,125,125, 1.088, 162.50, 462.50
10399,4166,2015-07-14,07:26:00,5,Go-Wo-NMDVGP,7435,LA-C-DOMINIC,250,0.07,125,125, 1.163, 87.50, 537.50
11004,4396,2015-03-06,03:45:00,5,Go-Wo-NMDVGP,6814,LA-CA-MEXICO,250,0.17,125,125, 1.038, 212.50, 412.50
11009,4398,2015-03-06,04:27:00,5,Go-Wo-NMDVGP,71,LA-CA-NICARAG,250,0.16,125,125, 1.050, 200, 425
11356,4535,2015-03-08,04:27:00,5,Go-Wo-NMDVGP,10589,LA-CA-EL SALV,250,0.07,125,125, 1.163, 87.50, 537.50
11514,4593,2015-03-09,00:46:00,5,Go-Wo-NMDVGP,3428,LA-CA-HONDURA,250,0.04,125,125, 1.200, 50, 575
11836,4721,2017-03-28,11:38:00,5,Go-Wo-NMDVGP,7175,LA-CA-HONDURA,250,0.17,125,125, 1.038, 212.50, 412.50
11855,4728,2015-03-11,00:04:00,5,Go-Wo-NMDVGP,2341,LA-CA-HONDURA,250,0.15,125,125, 1.063, 187.50, 437.50
11861,4731,2017-09-10,10:21:00,5,Go-Wo-NMDVGP,279,LA-CA-MEXICO,250,0.13,125,125, 1.088, 162.50, 462.50
12347,4936,2015-03-14,00:57:00,5,Go-Wo-NMDVGP,3429,LA-C-CUBA,250,0.02,125,125, 1.225, 25, 600
12473,4983,2015-04-03,08:58:00,5,Go-Wo-NMDVGP,11171,LA-C-CUBA,250,0.25,125,125, 938, 312.50, 312.50
12514,4996,2015-03-14,21:58:00,5,Go-Wo-NMDVGP,6934,LA-CA-MEXICO,250,0.2,125,125, 1.000, 250, 375
